"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a2\",\"35,26\",\"1457\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a2\",\"33,26\",\"1459\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a2\",\"30,26\",\"1461\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a2\",\"28,26\",\"1463\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a2\",\"25,26\",\"1465\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a2\",\"21,26\",\"1467\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a2\",\"18,26\",\"1469\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a2\",\"15,26\",\"1471\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a2\",\"12,26\",\"1473\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a2\",\"9,26\",\"1475\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a2\",\"6,26\",\"1477\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a2\",\"2,26\",\"1479\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mouseout\",\"a2\",\"out\",\"1481\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mouseover\",\"a1\",\"in\",\"1483\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"99,27\",\"1485\","-1"
