"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"6,26\",\"954\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"6,25\",\"956\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"5,25\",\"957\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"4,25\",\"958\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"3,25\",\"960\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"2,24\",\"962\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"1,24\",\"964\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"0,24\",\"965\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mouseout\",\"d4\",\"out\",\"967\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mouseover\",\"d3\",\"in\",\"978\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"99,21\",\"978\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"98,21\",\"981\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"97,20\",\"983\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"96,20\",\"984\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"95,20\",\"987\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"95,19\",\"988\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"94,19\",\"989\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"93,18\",\"993\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d3\",\"92,18\",\"994\","-1"
