"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"43,13\",\"1527\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"46,16\",\"1535\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"52,19\",\"1543\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"58,20\",\"1551\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"66,22\",\"1559\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"76,24\",\"1567\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"87,24\",\"1575\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseout\",\"a0\",\"out\",\"1809\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"b0\",\"\",\"1809\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"b2\",\"-546 ; -136,5\",\"1809\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a2\",\"38,34\",\"1811\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a2\",\"49,35\",\"1820\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a2\",\"62,37\",\"1828\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a2\",\"72,38\",\"1831\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a2\",\"77,38\",\"1842\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a2\",\"86,39\",\"1851\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a2\",\"90,39\",\"1861\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a2\",\"96,39\",\"1880\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a2\",\"98,39\",\"1888\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a2\",\"99,39\",\"1895\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseout\",\"a2\",\"out\",\"1904\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"b2\",\"\",\"1930\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"b3\",\"-364 ; -113,75\",\"1930\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"1,39\",\"1931\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"4,40\",\"1943\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"5,40\",\"1944\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"7,40\",\"1954\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"9,40\",\"1967\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"10,40\",\"1976\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"11,40\",\"1983\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"17,39\",\"2019\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"21,39\",\"2024\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"23,39\",\"2032\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"26,38\",\"2039\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"29,38\",\"2047\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"31,38\",\"2055\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"34,38\",\"2063\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"37,38\",\"2071\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"39,38\",\"2079\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"41,38\",\"2087\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"42,38\",\"2103\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"43,38\",\"2127\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"43,39\",\"2175\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"44,41\",\"2183\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"46,44\",\"2191\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a3\",\"48,49\",\"2199\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseout\",\"a3\",\"out\",\"2208\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"b3\",\"\",\"2225\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"a3\",\"-364 ; -204,75\",\"2226\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"51,3\",\"2226\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"51,6\",\"2235\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"52,10\",\"2245\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"52,12\",\"2250\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"52,15\",\"2260\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"52,18\",\"2269\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"52,20\",\"2271\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"52,23\",\"2279\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"51,26\",\"2287\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"51,29\",\"2295\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"51,30\",\"2304\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"50,32\",\"2311\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"49,33\",\"2320\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"48,35\",\"2335\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"46,36\",\"2351\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"45,37\",\"2359\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"44,37\",\"2367\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"43,37\",\"2375\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"40,38\",\"2383\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"33,39\",\"2391\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"28,39\",\"2399\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"21,40\",\"2407\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"11,41\",\"2415\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b3\",\"4,42\",\"2423\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseout\",\"b3\",\"out\",\"2432\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"a3\",\"\",\"2440\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"a2\",\"-364 ; -136,5\",\"2440\","-1"
