"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"68,22\",\"2078\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"74,21\",\"2086\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"72,21\",\"2269\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"72,20\",\"2294\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"71,20\",\"2342\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"70,19\",\"2350\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"69,16\",\"2358\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"69,15\",\"2366\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"67,10\",\"2430\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"66,8\",\"2438\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"66,7\",\"2446\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"66,6\",\"2454\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"65,4\",\"2462\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"64,0\",\"2470\","-1"
