"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b2\",\"55,31\",\"1795\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b2\",\"53,33\",\"1802\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b2\",\"51,33\",\"1811\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b2\",\"48,34\",\"1823\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b2\",\"44,35\",\"1827\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b2\",\"42,35\",\"1834\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b2\",\"36,36\",\"1842\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b2\",\"32,36\",\"1850\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b2\",\"25,37\",\"1860\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b2\",\"18,37\",\"1868\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mouseout\",\"b2\",\"out\",\"1924\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mouseover\",\"b2\",\"\",\"1925\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mouseover\",\"b1\",\"0 ; 0\",\"1925\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"77,37\",\"1927\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"73,37\",\"1935\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"67,37\",\"1943\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"50,37\",\"1975\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"47,37\",\"1978\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"46,37\",\"1986\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"44,37\",\"1994\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"43,37\",\"2002\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"42,37\",\"2018\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"41,36\",\"2034\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"40,36\",\"2043\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"38,36\",\"2050\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"37,36\",\"2058\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"34,36\",\"2066\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"32,36\",\"2074\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"29,36\",\"2082\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"25,36\",\"2090\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"20,36\",\"2098\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b1\",\"16,36\",\"2106\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mouseout\",\"b1\",\"out\",\"2206\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mouseover\",\"b1\",\"\",\"2207\","-1"
