"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"76.80999755859375,34.279998779296875\",\"4418\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"76.80999755859375,35.279998779296875\",\"4451\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"77.80999755859375,36.279998779296875\",\"4462\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"77.80999755859375,37.279998779296875\",\"4476\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"77.80999755859375,39.279998779296875\",\"4495\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"77.80999755859375,42.279998779296875\",\"4506\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"77.80999755859375,44.279998779296875\",\"4517\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"77.80999755859375,48.279998779296875\",\"4529\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseout\",\"a0\",\"out\",\"4541\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"77.80999755859375,0.2800000011920929\",\"4550\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"b0\",\"\",\"4553\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"a0\",\"92 ; 21\",\"4553\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"77.80999755859375,8.279999732971191\",\"4567\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"77.80999755859375,12.279999732971191\",\"4572\","-1"
