"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""onload\",\"body\",\"body\",\"58\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""subject\",\"random\",\"1\",\"68\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""order\",\"col\",\"0_1_2\",\"68\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""order\",\"row\",\"1_0_2\",\"68\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""events\",\"open_close\",\"1_1\",\"68\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mouseover\",\"btn3\",\"Strategie 3\",\"277\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mouseout\",\"btn3\",\"Strategie 3\",\"290\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mouseover\",\"a1\",\"\",\"685\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mouseover\",\"b1\",\"0 ; 0\",\"686\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mouseout\",\"a1\",\"out\",\"692\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mousemove\",\"a0\",\"96,8.279999732971191\",\"715\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mouseover\",\"b1\",\"\",\"716\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mouseover\",\"b0\",\"216 ; 72\",\"717\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mousemove\",\"a0\",\"92,0.2800000011920929\",\"725\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mouseout\",\"a0\",\"out\",\"737\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mousemove\",\"a0\",\"56,1.2799999713897705\",\"2531\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mouseover\",\"b0\",\"\",\"2533\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mousemove\",\"a0\",\"56,2.2799999713897705\",\"2551\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mousemove\",\"a0\",\"56,4.279999732971191\",\"2607\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mousemove\",\"a0\",\"56,5.279999732971191\",\"2617\","-1"
"1425","v3","","1_3x3_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:37:09",""mousemove\",\"a0\",\"58,6.279999732971191\",\"2858\","-1"
